standatd,pIC50
51,7.292429824
108,6.966576245
135,6.869666232
200,6.698970004
370,6.431798276
79.3,7.100726813
4.8,8.318758763
24.9,7.603800653
16.3,7.787812396
7.2,8.142667504
141,6.850780887
106,6.974694135
28.3,7.548213564
33.3,7.477555766
181,6.742321425
241,6.617982957
7.8,8.107905397
60.8,7.216096421
39.9,7.399027104
46.5,7.332547047
20.5,7.688246139
322,6.492144128
201,6.696803943
293,6.53313238
367,6.435333936
212,6.673664139
12.3,7.910094889
889,6.051098239
26.1,7.583359493
85,7.070581074
160,6.795880017
25,7.602059991
0.74,9.13076828
960,6.017728767
405.2,6.392330563
16,7.795880017
48.8,7.311580178
60.1,7.221125528
100.2,6.999132278
94.4,7.025028006
105.2,6.97798426
468.4,6.329383114
11,7.958607315
96.3,7.016373713
121.7,6.914709422
1.6,8.795880017
4.6,8.337242168
5,8.301029996
8.5,8.070581074
12,7.920818754
3,8.522878745
43,7.366531544
3.3,8.48148606
10,8
36,7.443697499
2.1,8.677780705
1.7,8.769551079
1.4,8.853871964
3,8.522878745
4.1,8.387216143
2.3,8.638272164
7.7,8.113509275
2.7,8.568636236
10,8
1.6,8.795880017
6.3,8.200659451
1.7,8.769551079
48.3,7.316052869
90,7.045757491
25.3,7.596879479
54.7,7.262012674
31.6,7.500312917
39.2,7.406713933
40.5,7.392544977
26.5,7.576754126
99.6,7.001740662
67.3,7.171984936
41,7.387216143
70,7.15490196
106,6.974694135
14,7.853871964
70,7.15490196
126,6.899629455
68,7.167491087
111,6.954677021
71,7.148741651
80,7.096910013
48,7.318758763
35,7.455931956
184,6.735182177
88,7.055517328
31,7.508638306
205,6.688246139
19,7.721246399
47,7.327902142
152,6.818156412
110,6.958607315
94,7.026872146
88,7.055517328
198,6.70333481
82,7.086186148
46,7.337242168
54,7.26760624
903,6.04431225
50,7.301029996
14,7.853871964
4.5,8.346787486
2,8.698970004
2,8.698970004
15,7.823908741
18.4,7.735182177
1,9
189.3,6.722849386
1,9
105.5,6.97674754
2.2,8.657577319
0.9,9.045757491
328,6.484126156
111,6.954677021
299,6.524328812
78,7.107905397
8.4,8.075720714
55.8,7.253365801
6.1,8.214670165
2.7,8.568636236
2.7,8.568636236
2.7,8.568636236
3.1,8.508638306
1.4,8.853871964
2.6,8.585026652
14.5,7.838631998
2.7,8.568636236
2.1,8.677780705
3.9,8.408935393
3.1,8.508638306
2.9,8.537602002
1.6,8.795880017
110,6.958607315
65,7.187086643
397,6.401209493
166,6.779891912
259,6.586700236
18,7.744727495
222,6.653647026
24,7.619788758
13,7.886056648
10,8
12,7.920818754
27,7.568636236
31,7.508638306
41,7.387216143
50,7.301029996
72,7.142667504
35,7.455931956
7.1,8.148741651
3.9,8.408935393
225,6.647817482
520,6.283996656
314,6.503070352
52,7.283996656
52,7.283996656
22,7.657577319
859,6.066006836
42,7.37675071
114,6.943095149
17,7.769551079
17,7.769551079
16,7.795880017
4,8.397940009
8,8.096910013
5,8.301029996
46,7.337242168
16,7.795880017
573,6.241845378
5,8.301029996
8,8.096910013
6,8.22184875
2,8.698970004
7,8.15490196
16,7.795880017
223,6.651695137
292,6.534617149
384,6.415668776
57,7.244125144
508,6.294136288
949,6.022733788
48,7.318758763
68,7.167491087
27,7.568636236
50,7.301029996
7,8.15490196
16,7.795880017
9,8.045757491
119,6.924453039
25,7.602059991
48,7.318758763
15,7.823908741
5,8.301029996
145,6.838631998
14,7.853871964
8,8.096910013
7,8.15490196
7,8.15490196
5,8.301029996
3,8.522878745
2,8.698970004
3,8.522878745
4,8.397940009
2,8.698970004
2,8.698970004
2,8.698970004
7,8.15490196
2,8.698970004
5,8.301029996
6,8.22184875
4,8.397940009
5,8.301029996
4,8.397940009
91,7.040958608
42,7.37675071
10,8
158,6.801342913
223,6.651695137
21,7.677780705
5,8.301029996
106,6.974694135
50,7.301029996
14,7.853871964
1,9
594,6.226213555
4,8.397940009
15,7.823908741
15,7.823908741
111,6.954677021
2,8.698970004
42,7.37675071
11,7.958607315
40,7.397940009
18,7.744727495
1,9
9,8.045757491
2,8.698970004
20,7.698970004
6,8.22184875
1,9
12,7.920818754
7,8.15490196
2,8.698970004
1,9
260,6.585026652
4,8.397940009
31,7.508638306
67,7.173925197
25,7.602059991
85.4,7.068542129
134,6.872895202
151,6.821023053
209,6.679853714
317,6.498940738
453,6.343901798
60,7.22184875
193,6.714442691
1.05,8.978810701
12,7.920818754
12,7.920818754
2,8.698970004
9.5,8.022276395
34,7.468521083
48.5,7.314258261
8.5,8.070581074
3,8.522878745
21,7.677780705
325,6.488116639
4,8.397940009
0.22,9.657577319
6,8.22184875
10,8
3,8.522878745
275,6.560667306
20,7.698970004
12,7.920818754
9,8.045757491
1.2,8.920818754
8,8.096910013
130,6.886056648
2,8.698970004
0.9,9.045757491
1.3,8.886056648
1.4,8.853871964
5,8.301029996
3,8.522878745
3,8.522878745
4,8.397940009
5,8.301029996
6,8.22184875
7,8.15490196
8,8.096910013
10,8
10,8
11,7.958607315
11,7.958607315
12,7.920818754
12,7.920818754
14,7.853871964
14,7.853871964
15,7.823908741
18,7.744727495
19,7.721246399
19,7.721246399
27,7.568636236
35,7.455931956
36,7.443697499
40,7.397940009
44,7.356547324
45,7.346787486
51,7.292429824
52,7.283996656
55,7.259637311
55,7.259637311
59,7.229147988
88,7.055517328
140,6.853871964
230,6.638272164
240,6.619788758
0.08,10.09691001
0.09,10.04575749
1.65,8.782516056
1.4,8.853871964
1,9
0.9,9.045757491
1.4,8.853871964
0.8,9.096910013
1.8,8.744727495
1.8,8.744727495
2.3,8.638272164
5.6,8.251811973
5.2,8.283996656
7.4,8.13076828
6.7,8.173925197
13,7.886056648
62,7.207608311
72,7.142667504
32,7.494850022
583,6.234331445
741,6.130181792
7.4,8.13076828
7.6,8.119186408
173,6.761953897
880,6.055517328
9,8.045757491
135,6.869666232
18,7.744727495
87,7.060480747
2,8.698970004
4.7,8.327902142
0.9,9.045757491
38,7.420216403
4,8.397940009
0.4,9.397940009
0.16,9.795880017
0.06,10.22184875
38,7.420216403
5,8.301029996
1.2,8.920818754
34,7.468521083
68,7.167491087
144,6.841637508
195,6.709965389
333,6.477555766
148,6.829738285
141,6.850780887
41,7.387216143
66,7.180456064
90,7.045757491
422,6.374687549
81,7.091514981
77,7.113509275
37,7.431798276
14,7.853871964
0.82,9.086186148
0.49,9.30980392
0.72,9.142667504
0.59,9.229147988
0.53,9.27572413
29,7.537602002
14,7.853871964
0.27,9.568636236
17,7.769551079
0.28,9.552841969
11,7.958607315
0.26,9.585026652
0.13,9.886056648
0.5,9.301029996
0.46,9.337242168
9,8.045757491
135,6.869666232
639,6.194499142
1.3,8.886056648
1.4,8.853871964
2,8.698970004
6.3,8.200659451
16.9,7.772113295
4.1,8.387216143
1.1,8.958607315
2.8,8.552841969
1,9
1,9
1.6,8.795880017
1.9,8.721246399
1.2,8.920818754
1,9
2.3,8.638272164
2.5,8.602059991
190,6.721246399
18,7.744727495
35,7.455931956
220,6.657577319
89,7.050609993
15,7.823908741
108,6.966576245
65,7.187086643
20,7.698970004
9,8.045757491
708,6.149966742
14,7.853871964
29,7.537602002
484,6.315154638
155,6.809668302
108,6.966576245
525,6.279840697
25,7.602059991
181,6.742321425
26,7.585026652
9,8.045757491
347,6.459670525
72,7.142667504
276,6.559090918
200,6.698970004
6.7,8.173925197
11,7.958607315
692,6.159893906
54,7.26760624
16,7.795880017
156,6.806875402
83,7.080921908
437,6.359518563
261,6.583359493
813,6.089909454
17,7.769551079
21,7.677780705
39,7.408935393
761,6.118615343
34,7.468521083
45,7.346787486
35,7.455931956
590,6.229147988
480,6.318758763
594,6.226213555
13.4,7.872895202
45,7.346787486
24,7.619788758
35,7.455931956
43,7.366531544
35,7.455931956
11,7.958607315
73,7.13667714
454,6.342944147
24,7.619788758
20,7.698970004
8.4,8.075720714
4.7,8.327902142
4.3,8.366531544
7,8.15490196
46,7.337242168
41,7.387216143
35,7.455931956
34,7.468521083
32,7.494850022
23,7.638272164
14,7.853871964
13,7.886056648
11,7.958607315
8.9,8.050609993
8.6,8.065501549
8,8.096910013
7.7,8.113509275
7.7,8.113509275
5.4,8.26760624
5,8.301029996
4.8,8.318758763
4.1,8.387216143
4.1,8.387216143
4,8.397940009
4,8.397940009
3.8,8.420216403
3.8,8.420216403
2.8,8.552841969
2,8.698970004
0.8,9.096910013
0.2,9.698970004
10,8
10,8
10,8
10,8
460,6.337242168
310,6.508638306
38,7.420216403
1.86,8.730487056
273,6.563837353
6.5,8.187086643
1.2,8.920818754
1,9
571,6.243363892
1,9
67,7.173925197
0.95,9.022276395
97.4,7.011441043
16.5,7.782516056
70.4,7.152427341
5.72,8.242603971
105,6.978810701
871,6.059981845
23,7.638272164
23.4,7.630784143
271,6.567030709
792,6.101274818
45.6,7.341035157
33.2,7.478861916
6.88,8.162411562
10.9,7.962573502
8.43,8.074172425
141,6.850780887
10.8,7.966576245
2.73,8.563837353
294,6.53165267
3.62,8.441291429
5.48,8.261219442
44,7.356547324
4.5,8.346787486
4.7,8.327902142
345,6.462180905
23,7.638272164
34,7.468521083
345,6.462180905
77,7.113509275
56,7.251811973
354,6.450996738
4.6,8.337242168
3.7,8.431798276
5.6,8.251811973
4.3,8.366531544
6.5,8.187086643
54,7.26760624
4.5,8.346787486
87,7.060480747
66,7.180456064
35,7.455931956
209,6.679853714
766,6.11577123
399,6.399027104
251,6.600326279
171,6.76700389
405,6.392544977
17,7.769551079
5,8.301029996
5,8.301029996
17,7.769551079
2,8.698970004
5,8.301029996
5,8.301029996
1,9
17,7.769551079
7,8.15490196
12,7.920818754
6,8.22184875
7,8.15490196
7,8.15490196
5,8.301029996
3,8.522878745
21,7.677780705
5,8.301029996
2,8.698970004
3,8.522878745
2,8.698970004
18,7.744727495
30,7.522878745
12,7.920818754
4,8.397940009
5,8.301029996
3,8.522878745
2,8.698970004
7,8.15490196
7,8.15490196
11,7.958607315
6,8.22184875
2,8.698970004
2,8.698970004
4,8.397940009
62,7.207608311
22,7.657577319
167,6.777283529
12,7.920818754
17,7.769551079
60,7.22184875
11,7.958607315
11,7.958607315
8,8.096910013
3,8.522878745
31,7.508638306
33,7.48148606
25,7.602059991
6,8.22184875
123,6.910094889
6,8.22184875
13,7.886056648
18,7.744727495
2,8.698970004
6,8.22184875
24,7.619788758
9,8.045757491
1,9
2,8.698970004
2,8.698970004
8,8.096910013
27,7.568636236
52,7.283996656
38,7.420216403
10.5,7.978810701
500,6.301029996
46,7.337242168
44,7.356547324
7,8.15490196
0.5,9.301029996
0.5,9.301029996
1.2,8.920818754
0.9,9.045757491
0.3,9.522878745
45,7.346787486
5.6,8.251811973
3.5,8.455931956
1.6,8.795880017
1.1,8.958607315
7.1,8.148741651
4,8.397940009
0.2,9.698970004
0.3,9.522878745
0.7,9.15490196
5.1,8.292429824
0.9,9.045757491
1.2,8.920818754
6.5,8.187086643
168,6.774690718
417,6.379863945
80,7.096910013
27,7.568636236
0.04,10.39794001
1.4,8.853871964
0.8,9.096910013
1,9
8,8.096910013
8,8.096910013
5.6,8.251811973
5.7,8.244125144
3,8.522878745
15,7.823908741
35,7.455931956
24,7.619788758
16,7.795880017
51,7.292429824
13,7.886056648
29,7.537602002
117,6.931814138
224,6.649751982
495,6.305394801
60,7.22184875
187,6.728158393
93,7.031517051
19,7.721246399
19,7.721246399
81,7.091514981
177,6.752026734
80,7.096910013
7,8.15490196
38,7.420216403
18,7.744727495
39,7.408935393
77,7.113509275
30,7.522878745
3,8.522878745
22,7.657577319
101,6.995678626
376,6.424812155
12,7.920818754
61,7.214670165
21,7.677780705
56,7.251811973
30,7.522878745
245,6.610833916
523,6.281498311
145,6.838631998
263,6.580044252
57,7.244125144
89,7.050609993
33,7.48148606
79,7.102372909
369,6.432973634
308,6.511449283
439,6.35753548
92,7.036212173
332,6.478861916
184,6.735182177
10,8
68,7.167491087
128,6.89279003
67,7.173925197
15,7.823908741
5,8.301029996
17,7.769551079
12,7.920818754
32,7.494850022
70,7.15490196
29,7.537602002
31,7.508638306
2,8.698970004
22,7.657577319
8,8.096910013
11,7.958607315
7,8.15490196
46,7.337242168
74,7.13076828
1,9
98,7.008773924
94,7.026872146
14,7.853871964
98,7.008773924
14,7.853871964
67,7.173925197
239,6.621602099
335,6.474955193
5,8.301029996
40,7.397940009
18,7.744727495
33,7.48148606
269,6.57024772
13,7.886056648
69,7.161150909
27,7.568636236
36,7.443697499
48,7.318758763
417,6.379863945
139,6.8569852
149,6.826813732
86,7.065501549
66,7.180456064
63,7.200659451
10,8
1.5,8.823908741
8,8.096910013
7,8.15490196
45,7.346787486
32,7.494850022
47,7.327902142
44,7.356547324
20,7.698970004
5,8.301029996
6.7,8.173925197
12,7.920818754
724,6.140261434
330,6.48148606
73,7.13667714
1,9
81,7.091514981
28,7.552841969
58,7.236572006
120,6.920818754
167,6.777283529
22,7.657577319
68,7.167491087
12,7.920818754
65,7.187086643
44,7.356547324
57,7.244125144
72,7.142667504
47,7.327902142
11,7.958607315
42.7,7.369572125
855,6.068033885
969,6.013676223
0.8,9.096910013
3,8.522878745
4,8.397940009
36,7.443697499
126,6.899629455
149,6.826813732
2,8.698970004
38,7.420216403
217,6.663540266
241,6.617982957
47,7.327902142
17,7.769551079
35,7.455931956
22,7.657577319
26,7.585026652
100,7
3,8.522878745
17,7.769551079
106,6.974694135
89,7.050609993
463.8,6.333669256
69,7.161150909
43.2,7.364516253
59.3,7.226945307
42.2,7.374687549
60.2,7.220403509
31,7.508638306
36.6,7.436518915
90.5,7.043351421
38,7.420216403
382.4,6.417482116
107.3,6.969400278
294.9,6.530325227
137.8,6.860750782
151.5,6.819587367
168.5,6.773400095
192.1,6.716472635
34.7,7.459670525
81.8,7.087246696
95.8,7.018634491
43,7.366531544
182.3,6.739213331
35.7,7.447331784
94.3,7.025488307
32,7.494850022
35,7.455931956
25.1,7.600326279
47.2,7.326058001
69.1,7.160521953
690.6,6.160773426
161.8,6.791021483
304.8,6.515985037
193.2,6.713992878
903.2,6.044216071
0.28,9.552841969
0.2,9.698970004
0.2,9.698970004
0.4,9.397940009
0.1,10
0.4,9.397940009
0.3,9.522878745
0.2,9.698970004
1.4,8.853871964
1.2,8.920818754
0.7,9.15490196
0.8,9.096910013
13.1,7.882728704
0.4,9.397940009
2.7,8.568636236
1.3,8.886056648
32.9,7.482804102
2.6,8.585026652
1.6,8.795880017
0.6,9.22184875
1.1,8.958607315
34.9,7.457174573
17.6,7.754487332
4.2,8.37675071
1.3,8.886056648
0.9,9.045757491
6.7,8.173925197
5.3,8.27572413
40.9,7.388276692
32.5,7.488116639
129.3,6.888401475
659.1,6.181048688
374.4,6.42666416
106.7,6.971835581
129,6.88941029
2.7,8.568636236
4.4,8.356547324
1.8,8.744727495
73,7.13667714
56,7.251811973
34,7.468521083
290,6.537602002
9.4,8.026872146
11,7.958607315
210,6.677780705
84,7.075720714
11,7.958607315
23,7.638272164
12,7.920818754
14,7.853871964
23,7.638272164
2.2,8.657577319
5.4,8.26760624
5.4,8.26760624
26,7.585026652
515,6.288192771
58,7.236572006
10,8
316.2,6.500038134
7,8.15490196
0.9,9.045757491
35,7.455931956
1,9
1,9
88,7.055517328
45,7.346787486
24,7.619788758
40,7.397940009
13,7.886056648
55,7.259637311
36,7.443697499
29,7.537602002
27,7.568636236
184,6.735182177
15,7.823908741
15,7.823908741
27,7.568636236
20,7.698970004
38,7.420216403
18,7.744727495
21,7.677780705
28,7.552841969
23,7.638272164
22,7.657577319
42,7.37675071
14,7.853871964
222,6.653647026
61,7.214670165
51,7.292429824
41,7.387216143
20,7.698970004
3,8.522878745
44,7.356547324
29,7.537602002
19,7.721246399
19,7.721246399
16,7.795880017
27,7.568636236
18,7.744727495
20,7.698970004
18,7.744727495
5,8.301029996
5,8.301029996
6.2,8.207608311
